x,y,e,l,α,β,serveice
7.953459,0.558623,0.0,250.0,0.0,0.0,0.0
7.5062685,2.7641826,0.0,250.0,0.0,0.0,0.0
0.9279974,1.8214389,0.0,250.0,0.0,0.0,0.0
7.6092443,1.7149744,0.0,250.0,0.0,0.0,0.0
3.8993113,3.226135,0.0,250.0,0.0,0.0,0.0
1.933769,3.0495393,0.0,250.0,0.0,0.0,0.0
2.616137,1.2959677,0.0,250.0,0.0,0.0,0.0
9.035178,3.9540775,102.69601,186.8854,0.8559334,0.779649,1.8312715
2.8199663,1.5296365,128.56941,206.18817,0.045608502,0.818002,1.9126419
1.3596051,1.196736,242.20103,245.7052,0.37945044,0.8787471,0.12154493
7.6614723,9.43776,51.999622,175.14455,0.3982956,0.4044348,1.5954764
4.396427,1.0283736,75.00944,199.94872,0.43554014,1.6622969,1.1277783
5.033884,0.901766,63.65701,248.44298,0.94507897,0.05877611,1.1987298
3.890483,4.842886,81.26563,122.76314,0.23238505,1.5128886,0.13451698
5.231018,3.8628738,222.49251,229.68454,0.953206,0.8455369,1.8188452
7.1108737,0.68665797,55.046238,246.88841,0.73635256,1.0326098,0.93976724
1.2336072,5.1890974,75.33881,214.6478,0.17458145,1.0837066,0.44729653
6.2577734,9.387883,101.67918,249.762,0.7214047,0.19554523,0.3687551
4.6455474,2.8068132,85.76618,182.83713,0.5747348,1.9013633,1.2668604
3.516644,6.68318,73.09394,161.28201,0.5857975,0.42965943,1.2191863
9.695852,1.0108045,222.58223,227.55386,0.32191053,1.6804138,1.4593872
5.157614,5.2517896,34.40019,194.61255,0.8062934,1.7339004,1.0322523
6.3412213,5.992701,5.5322757,217.65213,0.98254246,0.2581353,0.21250206
4.8544364,0.9227621,71.62306,238.23688,0.031310372,0.5650183,0.7036685
9.859514,6.1317296,144.7745,242.15668,0.4192001,0.14669363,1.1323465
3.3357196,3.1475987,209.0381,220.76787,0.4577589,1.4598577,0.9220695
4.1377907,6.3815913,132.54106,213.8371,0.35391846,0.99270105,1.2643026
1.8673849,3.3656747,40.7245,244.87787,0.95808023,0.4683114,0.31353232
2.1367927,2.7843997,231.4942,242.67653,0.40639824,1.4385397,1.889591
1.7798035,3.7614608,90.059456,140.89877,0.9358417,1.267803,1.424989
4.8820915,1.7787442,15.310202,40.610657,0.90758413,0.10002217,0.4348736
2.7219908,2.7437122,239.32634,248.85678,0.94941866,1.3741413,0.9126926
1.982828,1.4995184,2.956138,63.623695,0.07849887,0.8650286,0.895631
4.572231,4.00568,160.64865,214.19035,0.35481185,0.8786853,1.5798887
6.6630344,6.739974,125.46648,166.41957,0.36764717,0.06455029,1.0549338
7.7713304,7.1675034,154.14629,164.99977,0.8635995,1.7718828,1.8410301
7.9343657,5.6810613,128.66339,144.35857,0.8145962,0.29379874,0.98848194
2.4369657,4.759403,224.74504,244.54369,0.32127008,1.1899626,0.05297791
3.3803284,5.551856,105.78824,217.84709,0.3604052,1.6188259,1.485436
0.47447255,9.089087,63.410717,213.57854,0.041519042,0.8557019,0.57448506
1.7216647,7.45454,27.581865,103.66187,0.28401688,1.4397969,0.7189568
2.5616434,4.4970345,118.23033,205.32974,0.29548767,0.6565858,0.8799055
4.3042417,5.770393,90.0237,186.0308,0.43044984,0.3723426,1.6393709
2.7232294,3.8638885,86.49224,197.7997,0.63390505,0.13861011,0.18337981
9.6418085,7.2331147,200.20674,203.15942,0.05216473,1.4868238,1.7195714
2.798925,5.5779653,66.21146,240.7637,0.42865163,1.6815387,0.79039806
3.4292123,1.9067622,98.436516,133.15378,0.8930546,0.74123764,1.797872
0.745484,7.819812,153.92538,199.00143,0.12910949,1.5442314,0.9360426
7.2495584,8.094588,128.48358,242.29639,0.7217282,0.12252517,0.2729092
3.9388871,5.5933733,1.6861821,190.08585,0.44033933,1.8894148,0.024451403
4.348663,0.99355173,242.12352,246.31473,0.0601102,0.069724694,0.003426616
1.8489151,2.1723094,179.07683,202.39873,0.12843038,0.057776377,0.9431462
2.2975278,8.092556,87.53101,90.280304,0.5526022,0.50911295,1.031879
3.8438287,3.55905,197.07141,219.40881,0.120741084,0.13391683,1.1362906
6.695822,2.4088404,179.50787,245.295,0.85636735,1.611023,1.4721897
0.9325151,2.7055511,95.10629,102.637764,0.6854876,0.99758023,0.6775508
4.285389,4.108439,156.42932,162.65193,0.15144388,1.1275338,1.9955937
8.176613,7.5063148,45.779106,65.58887,0.9947337,0.9384632,0.31188768
3.4958854,5.6858997,122.550095,135.24158,0.13914897,0.4590271,1.0071807
3.8514545,0.943418,196.52469,199.55383,0.6599797,0.51708126,1.7843885
6.41957,5.503203,99.516205,245.24445,0.34988427,0.59666246,0.5410101
0.27584818,1.7286274,81.213875,92.83636,0.8547141,0.10141578,1.3570596
4.6824045,8.749337,101.28142,136.56694,0.6774824,1.2479213,1.3780872
1.9348255,7.526291,216.77487,226.50868,0.7863386,1.8720415,0.93938583
9.841335,3.576278,128.91563,209.91615,0.28016713,0.75469184,1.3939176
6.0315676,6.1285195,215.58519,227.46913,0.6782319,0.6592028,0.21846871
6.698896,1.9929305,180.34882,199.27794,0.43384254,0.8692134,0.48157284
0.33134598,4.5956435,121.10464,171.13327,0.5388537,1.5396469,0.15893818
9.583549,6.280821,100.20746,156.1444,0.20667544,1.0352457,0.7935947
0.20025039,8.0130205,25.463549,163.10115,0.6438837,1.5405344,1.7555369
5.5219555,6.9247804,198.64719,225.07784,0.7798386,0.91362715,1.9705882
2.1571789,7.28636,22.501575,74.7958,0.47136447,0.048996504,1.9658893
7.994284,9.00298,224.96014,227.3586,0.055303168,1.9761358,0.17013171
8.9713,9.723951,183.73662,235.61143,0.36189562,0.7897329,0.32291052
1.1563321,6.659986,130.83748,167.42018,0.5360672,1.5181564,1.8301729
0.018741345,8.843454,142.49437,189.89261,0.044867385,0.53640306,0.8911836
2.4025724,0.51333326,72.970955,210.78645,0.005574087,0.8568151,0.15004504
6.902351,6.3315125,48.255733,150.93248,0.34154734,0.91977865,0.50098807
0.28300574,8.951139,37.81953,86.14196,0.5785274,0.006279741,0.7234298
6.917625,0.17263512,16.95346,153.39641,0.6658731,1.518215,0.23935047
0.37862018,9.727764,27.305317,141.57996,0.23399866,0.3211685,1.2897263
8.720552,2.3988783,48.459427,92.21088,0.56453365,1.4489673,0.24021612
1.9473884,4.074504,82.84899,215.65155,0.77982944,0.7779771,1.0208346
6.5888376,9.519327,9.791122,160.23415,0.51649565,0.804508,0.687918
3.2984557,3.3980877,15.521128,206.55115,0.21812987,0.9428567,1.9208564
2.526879,0.2996433,146.50806,223.52525,0.49012196,0.56546867,0.7609728
9.457225,5.308809,161.47472,246.31589,0.6536411,1.728808,0.20149995
8.492352,6.441202,0.0,250.0,0.0,0.0,0.0
1.0650595,3.4383185,0.0,250.0,0.0,0.0,0.0
1.3377056,4.1481514,0.0,250.0,0.0,0.0,0.0
8.112236,2.1709337,0.0,250.0,0.0,0.0,0.0
2.8786175,1.7477748,0.0,250.0,0.0,0.0,0.0
