x,y,e,l,α,β,serveice
8.47008,9.047369,0.0,300.0,0.0,0.0,0.0
6.382648,4.896741,0.0,300.0,0.0,0.0,0.0
8.676836,0.5459452,0.0,300.0,0.0,0.0,0.0
6.3470945,2.8914418,0.0,300.0,0.0,0.0,0.0
2.1915755,0.16436298,0.0,300.0,0.0,0.0,0.0
1.5382593,6.930579,0.0,300.0,0.0,0.0,0.0
4.358569,9.382372,272.62372,275.42578,0.5269161,0.60704476,0.13595094
7.1794724,0.3487483,94.46457,198.30714,0.16520034,1.1532563,1.370327
1.0760794,5.7377334,286.51764,294.7516,0.16778198,1.6709805,0.3516748
8.6980295,4.0862637,232.68228,255.98936,0.94167,1.0583495,1.7181163
6.1054897,2.2179747,245.40236,278.49612,0.7337117,0.011007654,0.8429563
7.347065,9.228779,12.225298,175.52075,0.44128862,1.882904,1.5069102
8.902556,6.4501195,151.32513,214.07047,0.80666745,0.23481403,1.3986361
0.23288429,2.0306354,60.357548,279.22018,0.63368803,1.7947087,1.5624973
3.6721218,3.4509878,299.5917,299.9583,0.37533826,0.8319228,1.8581685
1.3053771,1.4338814,59.468636,264.67957,0.1430319,0.23160347,0.1374974
2.5173473,6.881494,136.08875,276.65607,0.7199309,0.6983966,0.18727902
0.2742349,9.802238,90.80197,240.05096,0.9883769,1.2508557,0.6149512
7.423851,3.8901913,161.43962,287.50714,0.69829327,1.9267955,0.67640495
0.4388899,0.71624744,95.07104,256.0554,0.30815893,1.061599,1.6172863
4.103438,0.38982734,252.95438,278.2115,0.5218105,0.41833803,0.04017185
4.478754,9.552863,104.20451,152.6984,0.47924834,1.4407883,0.06095687
6.169016,7.8570595,118.9319,294.3407,0.74211985,1.8077343,1.6071619
7.6816845,6.778273,155.0018,173.96115,0.92669535,1.6405122,0.08295772
2.6813014,3.0328343,47.08525,283.22794,0.05394237,0.6395515,1.754146
9.946561,7.839391,236.96033,249.92778,0.3753615,1.5389451,1.6694442
3.3351936,3.805378,188.65407,272.21408,0.6281172,0.17979796,0.59098357
3.6279135,9.195098,10.527543,292.4605,0.8156252,1.2236221,1.1952518
5.6650624,0.9328414,16.483868,53.808334,0.80174273,0.05964569,1.8572516
9.7630205,7.2923737,121.27563,238.55966,0.28381982,0.76791775,1.5517443
9.686996,3.899536,110.502235,153.65659,0.72811234,0.8906407,1.5595143
5.7415304,5.78614,224.93944,247.77107,0.4340637,1.7867596,1.9747174
8.440173,9.792982,121.383736,169.72269,0.6261287,0.30626556,0.03400656
8.21037,1.5248305,81.18242,267.55292,0.085111044,1.3525674,0.6731097
8.783966,3.7019508,61.142994,192.61086,0.30098802,0.93162495,1.9645792
8.725731,6.0341973,181.43492,226.16673,0.7605954,1.7596442,0.34305897
5.161906,1.1447132,122.04774,265.8811,0.82434607,1.4568636,0.69250023
0.98787165,9.178267,42.15482,219.39131,0.09011734,0.97708833,0.8162211
3.5698383,3.50902,104.89812,144.06145,0.30628052,0.13545756,0.041176133
8.212066,5.281918,69.82243,118.1557,0.05308708,1.317599,1.9247649
4.339027,3.00692,256.95004,295.56116,0.18389055,1.1325984,0.33564195
1.5970404,4.962899,74.364624,94.76794,0.45629,1.7641448,1.1917151
3.4915676,9.512679,59.410343,196.9291,0.31278032,1.3080194,0.50957125
5.1021748,5.7309594,67.312836,228.75298,0.4934524,1.5993361,0.76005846
5.8278427,7.4227886,275.60428,282.6204,0.1727402,0.88684934,0.988985
7.1304593,7.7755127,204.2785,232.94336,0.106366485,1.9033204,1.6074035
5.625515,2.701685,190.85847,231.46288,0.88868773,1.6899934,0.74237895
9.341671,4.7127776,113.42359,209.39708,0.7904288,0.68818295,0.1530595
1.3521678,8.295895,260.36,284.2473,0.68499964,1.8396744,1.5992107
5.9670434,9.99048,243.04959,295.98886,0.66332495,0.48928997,1.0328964
2.5055752,3.5212412,32.941364,207.75847,0.83298016,1.3984393,0.87472004
4.4427485,2.1816819,271.89453,290.0996,0.5263929,0.46708554,1.9790585
6.868281,8.876803,225.04974,234.74937,0.06461388,0.12619618,0.9013779
0.51928973,0.9657442,153.45114,191.8187,0.028743822,0.18087392,0.47666192
5.8869486,3.1203434,130.26562,284.42572,0.050282527,0.6681695,0.20252623
5.872835,6.508243,179.18181,293.97894,0.5440521,0.72045374,0.63959277
4.7660227,7.7310944,188.30347,237.70238,0.3622032,0.9169645,0.60530615
3.216514,1.875423,178.52513,228.03114,0.8481616,0.6168497,1.5780925
8.345882,3.9177685,89.28993,250.45374,0.42252275,0.32024017,1.0369887
5.4044476,9.135686,21.046581,256.77414,0.6534356,0.70338815,1.3496414
4.3669457,2.7826498,102.078094,292.68448,0.9921317,1.2112099,1.8337692
1.872544,3.805978,200.90312,234.25397,0.92846805,1.0736853,1.2518394
3.2667103,8.438314,126.09225,241.5513,0.23894083,1.7156392,1.1540353
5.9984426,0.4047213,293.43875,296.9177,0.52209514,0.41551384,1.7954164
3.3724184,3.817689,143.7021,171.35023,0.23508215,1.8145962,0.36257046
2.4208922,6.9047666,251.82764,280.39978,0.38382128,0.030583337,1.9810205
9.383014,7.198201,127.40622,269.03925,0.036019962,1.5675259,1.2258904
7.63497,9.818526,163.70038,283.5371,0.50198203,0.0562824,0.5839868
8.831911,3.4355102,68.10508,87.198074,0.1496825,0.8128462,1.6114438
0.07485786,9.122949,51.642994,176.97984,0.9130527,0.42574382,0.43787014
6.579567,7.7020454,60.043514,160.02151,0.25014186,0.7903031,0.07352376
1.0105324,3.364839,190.74698,253.58224,0.37731713,1.5616083,1.2445894
4.234408,2.449868,280.86166,294.47852,0.095281795,1.3120184,1.5406748
7.2412925,3.3891666,15.123339,263.76324,0.5526313,0.76649725,1.5008136
6.0880814,5.799462,139.45522,210.3623,0.41361073,0.31980005,0.56790143
4.4484296,2.936287,214.59859,287.21613,0.11929679,0.99107873,0.8972689
4.4112487,5.0641303,29.648972,82.9785,0.611602,0.8933631,1.3452407
9.37846,2.5177941,171.09422,221.75208,0.8095022,1.3397602,1.2791027
5.7616696,5.40466,95.940384,217.53903,0.57349414,0.9185572,1.7186719
7.8477845,5.36522,132.14476,222.94574,0.2553957,0.33236542,0.8645635
0.37578592,7.172577,274.0697,289.7489,0.76545304,1.5306528,0.37609386
6.6831613,8.217545,124.52914,251.74767,0.7420197,1.1082321,0.63994664
